1001	5.225
1002	4.777
1003	4.927
1004	5.076
1005	5.225
1006	4.777
1007	5.225
1008	5.225
1009	4.927
1010	4.927
1011	5.375
1012	4.18
1013	4.628
1014	5.673
1015	4.927
1016	4.777
1017	5.524
1018	6.27
1019	5.375
1020	5.673
1021	5.375
1022	5.225
1023	5.225
1024	5.076
1025	4.777
1026	5.375
1027	5.375
1028	5.972
1029	5.822
1030	6.718
1031	6.42
1032	7.017
1033	4.777
1034	5.225
1035	5.524
1036	4.927
1037	5.076
1038	4.927
1039	4.927
1040	4.777
1041	4.927
1042	5.375
1043	5.524
1044	4.927
1045	5.225
1046	4.628
1047	4.628
1048	4.18
1049	5.076
1050	5.076
1051	4.031
1052	4.777
1053	5.225
1054	5.822
1055	6.121
1056	6.569
1057	5.972
1058	5.822
1059	5.822
1060	4.628
1061	5.076
1062	4.33
1063	4.479
1064	5.225
1065	5.972
1066	5.076
1067	5.673
1068	4.479
1069	4.33
1070	6.569
1071	7.465
1072	6.27
1073	6.569
1074	6.718
1075	6.868
1076	7.166
1077	7.763
1078	8.36
1079	7.465
1080	7.763
1081	8.36
1082	8.211
1083	8.51
1084	6.718
1085	7.315
1086	7.166
1087	6.42
1088	5.822
1089	5.972
1090	6.718
1091	5.822
1092	4.927
1093	4.479
1094	4.479
1095	4.628
1096	5.673
1097	6.868
1098	7.465
1099	6.569
1100	6.868
1101	6.121
1102	5.524
1103	6.718
1104	7.913
1105	6.718
1106	6.718
1107	6.121
1108	7.166
1109	6.718
1110	7.315
1111	7.017
1112	7.614
1113	7.614
1114	7.315
1115	6.42
1116	5.673
1117	5.822
1118	6.718
1119	6.569
1120	5.972
1121	6.121
1122	5.822
1123	5.225
1124	5.972
1125	6.718
1126	7.315
1127	7.315
1128	6.27
1129	5.524
1130	5.524
1131	4.927
1132	6.121
1133	4.33
1134	6.27
1135	5.822
1136	5.673
1137	6.121
1138	5.225
1139	6.42
1140	6.42
1141	6.718
1142	7.017
1143	7.017
1144	6.42
1145	6.121
1146	6.42
1147	6.42
1148	6.868
1149	7.913
1150	6.569
1151	6.868
1152	6.718
1153	6.868
1154	6.718
1155	6.27
1156	4.927
1157	6.121
